guideline_id,disease_name,recommended_drug_class,line_of_treatment,decision_factors,contraindications_summary
G645,Thrombotic Thrombocytopenic Purpura (TTP) - Acquired,Plasma Exchange,1st Line,"All patients with acute TTP",Catheter complications; allergic reactions
G646,Thrombotic Thrombocytopenic Purpura (TTP) - Acquired,Corticosteroids,1st Line,"Adjunct to PLEX",As above
G647,Thrombotic Thrombocytopenic Purpura (TTP) - Acquired,Rituximab,2nd Line,"Refractory or relapsing",As above
G648,Thrombotic Thrombocytopenic Purpura (TTP) - Acquired,Caplacizumab (Anti-vWF),2nd Line,"Adjunct to PLEX to prevent microthrombi",Bleeding
G649,Thrombotic Thrombocytopenic Purpura (TTP) - Congenital,Plasma Infusion,1st Line,"Prophylaxis or acute episodes",Volume overload; allergic reactions
G650,Atypical Hemolytic Uremic Syndrome (aHUS),Eculizumab,1st Line,"All patients with aHUS",Meningococcal infection
G651,Shiga Toxin-associated HUS (STEC-HUS),Supportive Care,1st Line,"Fluid, electrolyte management, dialysis",None
G652,Shiga Toxin-associated HUS (STEC-HUS),Avoid Antibiotics,1st Line,"May increase HUS risk",None
G653,IgA Vasculitis (Henoch-Schönlein Purpura) Nephritis,ACE Inhibitors/ARBs,1st Line,"Mild proteinuria",As above
G654,IgA Vasculitis (Henoch-Schönlein Purpura) Nephritis,Corticosteroids,2nd Line,"Severe proteinuria, crescentic GN",Infection; growth suppression
G655,IgA Vasculitis (Henoch-Schönlein Purpura) Nephritis,Cyclophosphamide,3rd Line,"Rapidly progressive GN",As above
G656,ANCA-associated Vasculitis (Granulomatosis with Polyangiitis) - Renal,Cyclophosphamide + Corticosteroids,Induction,"Organ-threatening disease (RPGN)",As above
G657,ANCA-associated Vasculitis (Granulomatosis with Polyangiitis) - Renal,Rituximab + Corticosteroids,Induction,"Alternative to cyclophosphamide",As above
G658,ANCA-associated Vasculitis (Granulomatosis with Polyangiitis) - Renal,Azathioprine or Methotrexate,Maintenance,"After remission induction",As above
G659,ANCA-associated Vasculitis (Microscopic Polyangiitis) - Renal,As above,As above,As above,As above
G660,ANCA-associated Vasculitis (Eosinophilic Granulomatosis with Polyangiitis) - Renal,Corticosteroids,Induction,"All patients",As above
G661,ANCA-associated Vasculitis (Eosinophilic Granulomatosis with Polyangiitis) - Renal,Cyclophosphamide or Rituximab,Induction,"Life-threatening, organ-threatening",As above
G662,Anti-GBM Disease (Goodpasture Syndrome) - Renal,Cyclophosphamide + Corticosteroids + Plasma Exchange,Induction,"All patients with diffuse alveolar hemorrhage or RPGN",As above
G663,Lupus Nephritis (Class III/IV),Mycophenolate Mofetil or Cyclophosphamide + Corticosteroids,Induction,"Active proliferative LN",Infection; GI; bone marrow suppression
G664,Lupus Nephritis (Class III/IV),Mycophenolate Mofetil or Azathioprine,Maintenance,"After induction",As above
G665,Lupus Nephritis (Class V),Mycophenolate Mofetil + Corticosteroids,Induction,"Nephrotic syndrome",As above
G666,Lupus Nephritis (Class V),Calcineurin Inhibitors (Tacrolimus),2nd Line,"Refractory",Renal toxicity; hypertension; diabetes
G667,IgA Nephropathy (Berger's Disease),ACE Inhibitors/ARBs,1st Line,"Proteinuria >0.5g/day",As above
G668,IgA Nephropathy (Berger's Disease),Corticosteroids,2nd Line,"Persistent proteinuria >1g/day despite maximal ACEi, eGFR>50",Infection; osteoporosis
G669,IgA Nephropathy (Berger's Disease),Fish Oil,2nd Line,"May slow progression; controversial",Fishy taste; bleeding risk
G670,IgA Nephropathy (with crescentic),Cyclophosphamide + Corticosteroids,Induction,"Rapidly progressive",As above
G671,Membranous Nephropathy (Primary),Conservative (ACEi, BP control),1st Line,"Low risk (proteinuria <4g/day, normal Cr)",None
G672,Membranous Nephropathy (Primary),Rituximab,1st Line (moderate risk),"Proteinuria 4-8g/day, normal Cr",As above
G673,Membranous Nephropathy (Primary),Cyclophosphamide + Corticosteroids,2nd Line,"High risk (proteinuria >8g/day, declining Cr)",As above
G674,Focal Segmental Glomerulosclerosis (Primary),Corticosteroids,1st Line,"Nephrotic syndrome, idiopathic",Infection; diabetes; osteoporosis
G675,Focal Segmental Glomerulosclerosis (Primary),Calcineurin Inhibitors (Tacrolimus),2nd Line,"Steroid-resistant or dependent",Nephrotoxicity; hypertension; diabetes
G676,Focal Segmental Glomerulosclerosis (Secondary),Treat underlying cause,1st Line,"Obesity, HIV, etc.",None
G677,Minimal Change Disease (Adult),Corticosteroids,1st Line,"Nephrotic syndrome",As above
G678,Minimal Change Disease (Adult),Rituximab,2nd Line,"Frequently relapsing, steroid-dependent",As above
G679,Minimal Change Disease (Child),Corticosteroids,1st Line,"Nephrotic syndrome",Growth suppression; osteoporosis
G680,Minimal Change Disease (Child),Levamisole or Cyclophosphamide,2nd Line,"Frequent relapses",Neutropenia; GI
G681,Amyloidosis (AL) - Renal,Chemotherapy (Daratumumab, CyBorD),1st Line,"Treat underlying plasma cell dyscrasia",As above
G682,Amyloidosis (AA) - Renal,Treat underlying inflammation,1st Line,"Control chronic inflammatory disease",As indicated
G683,Fibrillary Glomerulonephritis,Supportive (ACEi, BP control),1st Line,"Limited evidence; treat as per proteinuria",None
G684,Immunotactoid Glomerulopathy,Treat underlying CLL/lymphoma,1st Line,"If associated",As above
G685,C3 Glomerulopathy,Eculizumab,2nd Line,"Rapidly progressive or post-transplant",Meningococcal infection
G686,Dense Deposit Disease (MPGN type II),Supportive (ACEi, BP control),1st Line,"Proteinuria",None
G687,Post-infectious Glomerulonephritis (Atypical),Supportive,1st Line,"Self-limited in most",None
G688,Shunt Nephritis,Remove infected shunt + Antibiotics,1st Line,"Treat infection",Surgical risk
G689,Diabetic Nephropathy (Advanced),ACE Inhibitors/ARBs,1st Line,"All diabetics with albuminuria",As above
G690,Diabetic Nephropathy (Advanced),SGLT2 Inhibitors,1st Line,"All with CKD, regardless of diabetes",As above
G691,Hypertensive Nephrosclerosis (Malignant),Intensive BP control (IV antihypertensives),1st Line,"Admit to ICU",As above
G692,Renal Artery Stenosis (Atherosclerotic),Medical Therapy (ACEi/ARB, antiplatelet, statin),1st Line,"All patients",As above
G693,Renal Artery Stenosis (Atherosclerotic),Stenting,2nd Line,"Refractory hypertension, flash pulmonary edema, rapid CKD decline",Stent complications; restenosis
G694,Renal Artery Stenosis (Fibromuscular Dysplasia),Angioplasty (without stent),1st Line,"Hypertension uncontrolled, young patients",Vessel rupture; restenosis
G695,Renal Artery Stenosis (Fibromuscular Dysplasia),Medical Therapy,2nd Line,"Controlled BP, stable",As above
G696,Atheroembolic Renal Disease,Supportive Care,1st Line,"No specific therapy; avoid anticoagulation, further angiography",None
G697,Acute Tubular Necrosis (Ischemic),Supportive (fluids, avoid nephrotoxins),1st Line,"Treat underlying cause; may need dialysis",None
G698,Acute Tubular Necrosis (Nephrotoxic),Stop offending drug,1st Line,"Discontinue aminoglycosides, contrast, etc.",None
G699,Acute Interstitial Nephritis (Drug-induced),Stop culprit drug,1st Line,"NSAIDs, antibiotics",None
G700,Acute Interstitial Nephritis (Drug-induced),Corticosteroids,2nd Line,"If no improvement after 1 week, severe",Infection; hyperglycemia
G701,Acute Interstitial Nephritis (Infection-related),Treat infection,1st Line,"Antibiotics",As per antibiotic
G702,Acute Interstitial Nephritis (Autoimmune),Corticosteroids,1st Line,"Sarcoid, TINU",As above
G703,Light Chain Cast Nephropathy (Myeloma Kidney),Treat myeloma (chemotherapy) + Supportive,1st Line,"High-dose dexamethasone, bortezomib-based",As chemo
G704,Light Chain Cast Nephropathy (Myeloma Kidney),Extracorporeal Removal (Plasma exchange),2nd Line,"Controversial; may help reduce light chains",Catheter complications
G705,Tumor Lysis Syndrome (Renal),Rasburicase (Urate oxidase),1st Line,"High uric acid (>8 mg/dL) or TLS",Methemoglobinemia; G6PD deficiency
G706,Tumor Lysis Syndrome (Renal),IV Fluids + Allopurinol,1st Line,"Prevention and treatment",As above
G707,Hantavirus Nephropathy,Supportive (dialysis if needed),1st Line,"No specific antiviral",None
G708,Leptospirosis (Weil's Disease) - Renal,Antibiotics (Penicillin, Doxycycline),1st Line,"Treat infection",Herxheimer reaction
G709,Leptospirosis (Weil's Disease) - Renal,Dialysis,2nd Line,"AKI requiring RRT",Catheter complications
G710,Malaria (Acute Kidney Injury),Antimalarials (Artemisinins),1st Line,"Treat malaria",As per antimalarial
G711,Malaria (Acute Kidney Injury),Dialysis,2nd Line,"AKI requiring RRT",As above
G712,Schistosomiasis (Urogenital),Praziquantel,1st Line,"Treat infection",Abdominal pain; dizziness; urticaria
G713,Schistosomiasis (Urogenital),Surveillance for bladder cancer,2nd Line,"Chronic infection",None
G714,Schistosomiasis (Hepatosplenic),Praziquantel,1st Line,"Treat infection to prevent progression",As above
G715,Schistosomiasis (Hepatosplenic),Manage portal hypertension,2nd Line,"Beta-blockers for varices, banding",As per drugs
G716,Opisthorchiasis (Liver fluke),Praziquantel,1st Line,"Treat infection",As above
G717,Clonorchiasis (Chinese liver fluke),Praziquantel,1st Line,"Treat infection",As above
G718,Fascioliasis (Liver fluke),Triclabendazole,1st Line,"Drug of choice",Abdominal pain; fever; biliary colic
G719,Fascioliasis (Liver fluke),Nitazoxanide,2nd Line,"Alternative",GI upset
G720,Echinococcosis (Hepatic hydatid cyst),Albendazole,1st Line,"Pre-op or inoperable",Hepatotoxicity; bone marrow suppression
G721,Echinococcosis (Hepatic hydatid cyst),Surgical Resection + Albendazole,1st Line,"Large cysts, complications",Surgical risk; spillage
G722,Echinococcosis (Hepatic hydatid cyst),PAIR (Puncture, Aspiration, Injection, Re-aspiration),2nd Line,"Selected cysts",Anaphylaxis; recurrence
G723,Echinococcosis (Alveolar),Surgical Resection (if possible),1st Line,"Early disease",As above
G724,Echinococcosis (Alveolar),Albendazole (long-term),1st Line,"Inoperable, adjuvant",Hepatotoxicity
G725,Amoebic Liver Abscess,Metronidazole or Tinidazole,1st Line,"Treat infection",Disulfiram-like reaction; metallic taste
G726,Amoebic Liver Abscess,Paromomycin (luminal agent),2nd Line,"Eradicate cysts after metronidazole",GI upset
G727,Amoebic Liver Abscess,Aspiration,2nd Line,"Large abscess (>10cm), risk of rupture, no response",Bleeding; perforation
G728,Pyogenic Liver Abscess,Antibiotics (broad-spectrum, then targeted),1st Line,"IV antibiotics, often including metronidazole + 3rd-gen cephalosporin",Allergy; C. diff
G729,Pyogenic Liver Abscess,Percutaneous Drainage,1st Line,"If >5cm or not responding to antibiotics alone",Bleeding; sepsis; catheter occlusion
G730,Fungal Liver Abscess (Candida),Antifungals (Echinocandin or Amphotericin B),1st Line,"Systemic antifungal",Hepatotoxicity; renal toxicity
G731,Portal Vein Thrombosis,Anticoagulation,1st Line,"Acute thrombosis, unless high bleeding risk",Bleeding; variceal hemorrhage
G732,Portal Vein Thrombosis,Manage complications (varices, ascites),2nd Line,"Portal hypertension management",As per drugs
G733,Budd-Chiari Syndrome,Anticoagulation,1st Line,"Acute or chronic thrombosis",Bleeding
G734,Budd-Chiari Syndrome,TIPS (Transjugular Intrahepatic Portosystemic Shunt),2nd Line,"Refractory ascites, liver failure",Shunt dysfunction; encephalopathy
G735,Budd-Chiari Syndrome,Liver Transplantation,3rd Line,"Fulminant, end-stage",Surgical risk; recurrence
G736,Sinusoidal Obstruction Syndrome (Veno-occlusive disease),Supportive (fluid, sodium restriction, diuretics),1st Line,"Mild to moderate",None
G737,Sinusoidal Obstruction Syndrome (Veno-occlusive disease),Defibrotide,1st Line (severe),"Severe SOS with multi-organ failure",Bleeding
G738,Acute Fatty Liver of Pregnancy,Immediate Delivery,1st Line,"Terminate pregnancy",Prematurity; neonatal complications
G739,Acute Fatty Liver of Pregnancy,Supportive (ICU, glucose, dialysis),2nd Line,"Postpartum care",None
G740,HELLP Syndrome,Immediate Delivery,1st Line,"If >34 weeks or maternal/fetal distress",Prematurity
G741,HELLP Syndrome,Corticosteroids for fetal lung maturity,1st Line,"If <34 weeks, delay delivery 48h if stable",Infection; hyperglycemia
G742,HELLP Syndrome,Magnesium Sulfate for seizure prophylaxis,1st Line,"All with severe preeclampsia/HELLP",Respiratory depression; hyporeflexia
G743,Intrahepatic Cholestasis of Pregnancy,Ursodeoxycholic Acid,1st Line,"Relieve pruritus, improve bile acids",Diarrhea; rash
G744,Intrahepatic Cholestasis of Pregnancy,Early Delivery,2nd Line,"Severe, at 36-37 weeks",Prematurity
G745,Hyperemesis Gravidarum,IV Fluids + Thiamine,1st Line,"Rehydration, prevent Wernicke's",Fluid overload
G746,Hyperemesis Gravidarum,Antiemetics (Ondansetron, Promethazine),1st Line,"Control nausea",QT prolongation; sedation
G747,Hyperemesis Gravidarum,Corticosteroids,3rd Line,"Refractory cases",Hyperglycemia; cleft palate risk
G748,Placenta Accreta Spectrum,Planned Cesarean Hysterectomy,1st Line,"Multidisciplinary team, scheduled",Massive hemorrhage; surgical injury
G749,Placenta Accreta Spectrum,Balloon Occlusion,2nd Line,"Adjunctive to reduce bleeding",Thrombosis; ischemia
G750,Placental Abruption,Immediate Delivery (if fetal distress),1st Line,"Regardless of gestational age",Prematurity
G751,Placental Abruption,Supportive (blood transfusion, correction of coagulopathy),1st Line,"Maternal stabilization",None
G752,Placenta Previa,Cesarean Section,1st Line,"At 36-37 weeks if uncomplicated; earlier if bleeding",Prematurity
G753,Postpartum Hemorrhage (Atony),Uterotonic Agents (Oxytocin, Misoprostol),1st Line,"First-line",Nausea; vomiting; hypertension (ergometrine)
G754,Postpartum Hemorrhage (Atony),Uterine Massage,1st Line,"Immediate",None
G755,Postpartum Hemorrhage (Atony),Tranexamic Acid,1st Line,"Within 3 hours of birth",Thrombosis; seizures
G756,Postpartum Hemorrhage (Atony),Uterine Balloon Tamponade,2nd Line,"If medical therapy fails",Infection; uterine perforation
G757,Postpartum Hemorrhage (Atony),Surgical (B-Lynch, hysterectomy),3rd Line,"Persistent hemorrhage",Surgical risk
G758,Postpartum Hemorrhage (Traumatic),Repair lacerations,1st Line,"Surgical repair",Infection; bleeding
G759,Amniotic Fluid Embolism,Cardiopulmonary Support (ICU),1st Line,"Immediate aggressive resuscitation",None
G760,Amniotic Fluid Embolism,Blood Products (Massive transfusion protocol),1st Line,"DIC management",Transfusion reactions
G761,Puerperal Sepsis,Antibiotics (broad-spectrum),1st Line,"IV antibiotics covering endometritis",Allergy; C. diff
G762,Puerperal Sepsis,Surgical Source Control (D&C, hysterectomy),2nd Line,"Retained products, abscess",Surgical risk
G763,Mastitis (Lactational),Antibiotics (Dicloxacillin or Cephalexin),1st Line,"If symptoms >24h, no improvement with milk removal",Allergy; GI upset
G764,Mastitis (Lactational),Continue Breastfeeding/Pumping,1st Line,"Essential to empty breast",None
G765,Galactorrhea,Dopamine Agonists (Cabergoline),1st Line,"If bothersome, prolactinoma",Valvular fibrosis (cabergoline high dose); nausea; dizziness
G766,Prolactinoma (Microadenoma),Dopamine Agonists (Cabergoline),1st Line,"Shrink tumor, normalize prolactin",As above
G767,Prolactinoma (Macroadenoma),Dopamine Agonists (Cabergoline),1st Line,"First-line, monitor visual fields",As above
G768,Prolactinoma (Macroadenoma),Transsphenoidal Surgery,2nd Line,"Failure of DA, visual compromise, apoplexy",Surgical risk; hypopituitarism
G769,Acromegaly (Pituitary),Transsphenoidal Surgery,1st Line,"First-line for microadenomas and non-invasive macroadenomas",Surgical risk; hypopituitarism
G770,Acromegaly (Pituitary),Somatostatin Analogs (Octreotide, Lanreotide),2nd Line,"Post-op residual, inoperable",Gallstones; glucose intolerance; bradycardia
G771,Acromegaly (Pituitary),Pegvisomant (GH receptor antagonist),3rd Line,"Resistant to somatostatin analogs",Hepatotoxicity; lipohypertrophy
G772,Cushing's Disease (Pituitary),Transsphenoidal Surgery,1st Line,"Selective adenomectomy",Surgical risk; hypopituitarism; remission
G773,Cushing's Disease (Pituitary),Steroidogenesis Inhibitors (Ketoconazole, Metyrapone),2nd Line,"Pre-op to control cortisol, or if surgery fails",Hepatotoxicity; GI; adrenal insufficiency
G774,Cushing's Disease (Pituitary),Pituitary Radiotherapy,3rd Line,"Persistent disease",Hypopituitarism; optic neuropathy
G775,Cushing's Syndrome (Adrenal),Adrenalectomy,1st Line,"Unilateral adenoma/carcinoma",Surgical risk; adrenal insufficiency contralateral
G776,Cushing's Syndrome (Adrenal),Steroidogenesis Inhibitors,2nd Line,"Inoperable carcinoma, metastatic",As above
G777,Adrenal Insufficiency (Primary - Addison's),Glucocorticoid Replacement (Hydrocortisone),1st Line,"All patients",Infection; hyperglycemia; osteoporosis
G778,Adrenal Insufficiency (Primary - Addison's),Mineralocorticoid Replacement (Fludrocortisone),1st Line,"All with primary AI",Hypertension; hypokalemia; edema
G779,Adrenal Insufficiency (Secondary),Glucocorticoid Replacement only,1st Line,"No mineralocorticoid needed",As above
G780,Pheochromocytoma (Adrenal),Alpha-blockers (Phenoxybenzamine) pre-op,1st Line,"Preoperative preparation",Orthostatic hypotension; nasal congestion; reflex tachycardia
G781,Pheochromocytoma (Adrenal),Beta-blockers (after alpha-blockade),2nd Line,"Control tachycardia, only after alpha-block",Unopposed alpha if given first
G782,Pheochromocytoma (Adrenal),Surgical Resection,1st Line,"Curative",Hypertensive crisis during manipulation
G783,Pheochromocytoma (Extra-adrenal - Paraganglioma),Surgical Resection,1st Line,"If feasible",As above
G784,Neuroblastoma,Chemotherapy (Multiagent),1st Line,"High-risk",Myelosuppression; infection; organ toxicity
G785,Neuroblastoma,Surgery,2nd Line,"Resection after chemo",Surgical risk
G786,Neuroblastoma,Radiotherapy,3rd Line,"Local control",Growth delay; secondary cancers
G787,Ganglioneuroma,Observation,1st Line,"Benign, asymptomatic",None
G788,Ganglioneuroma,Surgical Resection,2nd Line,"If symptomatic or large",Surgical risk
G789,Medullary Thyroid Carcinoma (Sporadic),Total Thyroidectomy + Central Neck Dissection,1st Line,"Curative if localized",Hypoparathyroidism; recurrent laryngeal nerve injury
G790,Medullary Thyroid Carcinoma (Sporadic),Tyrosine Kinase Inhibitors (Vandetanib, Cabozantinib),2nd Line,"Metastatic, progressive",QT prolongation; diarrhea; hypertension; rash
G791,Medullary Thyroid Carcinoma (Hereditary - MEN2),Prophylactic Thyroidectomy,1st Line,"Based on RET mutation, age",As above
G792,Parathyroid Adenoma,Parathyroidectomy,1st Line,"Symptomatic, young, calcium >1mg/dL above upper limit",Hypocalcemia; recurrent laryngeal nerve injury
G793,Parathyroid Adenoma,Medical Management (Cinacalcet),2nd Line,"Inoperable, failed surgery",Nausea; hypocalcemia
G794,Parathyroid Carcinoma,En Bloc Resection,1st Line,"Curative",As above
G795,Parathyroid Carcinoma,Cinacalcet,2nd Line,"Control hypercalcemia in metastatic",As above
G796,Hypercalcemia of Malignancy (Humoral),IV Fluids + Bisphosphonates (Zoledronic acid),1st Line,"All patients",Renal toxicity; hypocalcemia; jaw osteonecrosis
G797,Hypercalcemia of Malignancy (Humoral),Denosumab,2nd Line,"Refractory to bisphosphonates",Hypocalcemia; rebound
G798,Hypercalcemia of Malignancy (Local osteolytic),As above,1st Line,"As above",As above
G799,Hyponatremia (SIADH),Fluid Restriction,1st Line,"Mild-moderate",Poor compliance
G800,Hyponatremia (SIADH),Tolvaptan (Vaptans),2nd Line,"Severe, refractory",Liver toxicity; overcorrection
G801,Hyponatremia (SIADH),Urea,2nd Line,"Alternative",Azotemia; GI
G802,Hyponatremia (Cerebral salt wasting),IV Fluids (normal saline or hypertonic),1st Line,"Replace sodium and volume",Fluid overload
G803,Hyponatremia (Cerebral salt wasting),Fludrocortisone,2nd Line,"Mineralocorticoid to reduce natriuresis",Edema; hypertension
G804,Diabetes Insipidus (Central),Desmopressin,1st Line,"All patients",Hyponatremia; water intoxication
G805,Diabetes Insipidus (Central),Thiazide Diuretics (paradoxical),2nd Line,"Partial DI or desmopressin not tolerated",Hypokalemia
G806,Diabetes Insipidus (Nephrogenic),Thiazide Diuretics,1st Line,"Reduce polyuria",As above
G807,Diabetes Insipidus (Nephrogenic),Amiloride,1st Line,"If lithium-induced",Hyperkalemia
G808,Primary Polydipsia,Behavioral Modification,1st Line,"Fluid restriction, therapy",None
G809,Syndrome of Inappropriate Antidiuresis (SIAD) - chronic,As SIADH,1st Line,"As per hyponatremia guidelines",As above
G810,Cerebral Edema (High altitude),Immediate Descent,1st Line,"Lifesaving",None
G811,Cerebral Edema (High altitude),Oxygen + Dexamethasone,1st Line,"Adjunct to descent",Hyperglycemia; infection
G812,High Altitude Pulmonary Edema (HAPE),Immediate Descent,1st Line,"Lifesaving",None
G813,High Altitude Pulmonary Edema (HAPE),Oxygen + Nifedipine,1st Line,"Adjunct to descent",Hypotension; headache
G814,Decompression Sickness (Neurologic),Hyperbaric Oxygen,1st Line,"Recompression therapy",Barotrauma; oxygen toxicity
G815,Decompression Sickness (Neurologic),IV Fluids + Oxygen,1st Line,"Adjunct",None
G816,Arterial Gas Embolism,Hyperbaric Oxygen,1st Line,"Urgent",As above
G817,Heat Stroke (Classic),Rapid Cooling (evaporative, ice packs),1st Line,"Reduce core temp quickly",Shivering; overcooling
G818,Heat Stroke (Classic),IV Fluids,1st Line,"Support circulation",Fluid overload
G819,Heat Stroke (Exertional),As above,1st Line,As above,As above
G820,Hypothermia (Severe),Active Rewarming (warm fluids, warming devices),1st Line,"Gradual rewarming",Afterdrop; arrhythmias
G821,Hypothermia (Severe),Cardiopulmonary Support (ECMO),2nd Line,"Cardiac arrest, severe hypothermia",Bleeding; vascular complications
G822,Frostbite (Deep),Rapid Rewarming in Water (37-39°C),1st Line,"Thaw tissue",Pain; compartment syndrome
G823,Frostbite (Deep),Thrombolytics (tPA),2nd Line,"Within 24h, severe, to reduce amputation",Bleeding
G824,Frostbite (Deep),Ibuprofen,1st Line,"Anti-inflammatory, analgesic",GI bleeding; renal
G825,Electrical Injury (High voltage),Cardiac Monitoring,1st Line,"Observe for arrhythmias",None
G826,Electrical Injury (High voltage),IV Fluids + Alkalinization,1st Line,"Rhabdomyolysis prevention",Metabolic alkalosis
G827,Lightning Injury,CPR,1st Line,"Prolonged resuscitation may be successful",None
G828,Drowning (Non-fatal),Oxygen + Ventilatory Support,1st Line,"Treat hypoxemia",Ventilator complications
G829,Drowning (Non-fatal),Antibiotics,2nd Line,"If evidence of infection",As per antibiotic
G830,Smoke Inhalation,100% Oxygen,1st Line,"All patients",None
G831,Smoke Inhalation,Consider Hyperbaric Oxygen for CO poisoning,2nd Line,"If severe CO poisoning",Barotrauma
G832,Carbon Monoxide Poisoning,100% Oxygen,1st Line,"All patients",None
G833,Carbon Monoxide Poisoning,Hyperbaric Oxygen,2nd Line,"Severe poisoning (loss of consciousness, neuro symptoms, COHb >25%)",As above
G834,Cyanide Poisoning,Amyl Nitrite + Sodium Thiosulfate + Hydroxocobalamin,1st Line,"Antidote kit",Methemoglobinemia; hypotension
G835,Organophosphate Poisoning,Atropine,1st Line,"Reverse muscarinic effects",Tachycardia; ileus; hyperthermia
G836,Organophosphate Poisoning,Pralidoxime (2-PAM),1st Line,"Reactivate AChE (if given early)",Hypertension; dizziness
G837,Lead Poisoning (Chronic),Chelation (Succimer, EDTA),1st Line,"Symptomatic, high blood lead levels",Nephrotoxicity; trace element deficiency
G838,Lead Poisoning (Chronic),Remove source,1st Line,"Environmental remediation",None
G839,Mercury Poisoning (Elemental),Chelation (DMPS, DMSA),1st Line,"Symptomatic, high levels",As above
G840,Mercury Poisoning (Organic - Methylmercury),Supportive,1st Line,"No effective chelation",None
G841,Arsenic Poisoning (Chronic),Chelation (DMPS, DMSA),1st Line,"Symptomatic",As above
G842,Arsenic Poisoning (Acute),Supportive + Chelation (BAL, DMSA),1st Line,"Life-threatening",BAL can cause hypertension, fever
G843,Cadmium Poisoning (Chronic),Supportive,1st Line,"No effective chelation",None
G844,Chromium Poisoning (Hexavalent),Supportive + Ascorbic Acid,1st Line,"May reduce Cr(VI) to Cr(III)",None
G845,Nickel Poisoning (Acute),Supportive + Chelation (EDTA),1st Line,"Controversial",Renal toxicity
G846,Berylliosis (Chronic),Corticosteroids,1st Line,"Symptomatic pulmonary disease",Infection; osteoporosis
G847,Berylliosis (Chronic),Avoid further exposure,1st Line,"All patients",None
G848,Silicosis (Chronic),Supportive (O2, bronchodilators),1st Line,"Symptom management",None
G849,Silicosis (Chronic),Lung Transplantation,2nd Line,"End-stage",Surgical risk; immunosuppression
G850,Coal Worker's Pneumoconiosis (Black Lung),Supportive,1st Line,"As above",None
G851,Asbestosis,Supportive,1st Line,"As above",None
G852,Asbestosis,Smoking Cessation,1st Line,"Reduce lung cancer risk",None
G853,Byssinosis (Brown Lung),Avoid exposure,1st Line,"Remove from cotton dust",None
G854,Byssinosis (Brown Lung),Bronchodilators,1st Line,"Symptomatic",As per bronchodilators
G855,Farmer's Lung (Hypersensitivity Pneumonitis),Avoid antigen,1st Line,"Remove from moldy hay",None
G856,Farmer's Lung (Hypersensitivity Pneumonitis),Corticosteroids,2nd Line,"Acute severe or chronic progressive",Infection; osteoporosis
G857,Bird Fancier's Lung,As above,1st Line,As above,As above
G858,Hot Tub Lung,Avoid exposure,1st Line,"Remove from hot tub",None
G859,Hot Tub Lung,May need corticosteroids,2nd Line,"Persistent symptoms",As above
G860,Chemical Pneumonitis (Chlorine gas),Supportive (O2, bronchodilators),1st Line,"Treat airway injury",None
G861,Phosgene Gas Poisoning,Supportive (ICU),1st Line,"Observe for delayed pulmonary edema",None
G862,Mustard Gas Injury (Chemical warfare),Decontamination,1st Line,"Immediate",None
G863,Mustard Gas Injury (Chemical warfare),Supportive (burn care, eye care),1st Line,"Symptom management",Infection; scarring
G864,Radiation Pneumonitis,Corticosteroids,1st Line,"Symptomatic",Infection; hyperglycemia
G865,Radiation Enteritis,Supportive (antidiarrheals, nutritional support),1st Line,"Symptom management",None
G866,Radiation Cystitis,Hyperbaric Oxygen,2nd Line,"Refractory bleeding",Barotrauma
G867,Radiation Dermatitis (Chronic),Emollients, Topical Steroids,1st Line,"Symptom management",Skin atrophy
G868,Graft-versus-Host Disease (Acute),Corticosteroids,1st Line,"First-line for GVHD",Infection; hyperglycemia
G869,Graft-versus-Host Disease (Acute),Ruxolitinib (JAK Inhibitor),2nd Line,"Steroid-refractory",Cytopenias; infection; bleeding
G870,Graft-versus-Host Disease (Chronic),Corticosteroids,1st Line,"First-line",As above
G871,Graft-versus-Host Disease (Chronic),Ruxolitinib,2nd Line,"Steroid-refractory",As above
G872,Transplant Rejection (Acute Cellular),Corticosteroids (Methylprednisolone),1st Line,"First-line for acute rejection",Infection; hyperglycemia; psychosis
G873,Transplant Rejection (Acute Cellular),Antithymocyte Globulin (ATG),2nd Line,"Steroid-resistant",Cytokine release; serum sickness; infection
G874,Transplant Rejection (Antibody-mediated),Plasma Exchange + IVIG + Rituximab,1st Line,"Treat AMR",Bleeding; infection; infusion reactions
G875,Chronic Lung Allograft Dysfunction (Bronchiolitis Obliterans),Azithromycin,1st Line,"May slow decline",QT prolongation; GI; hearing loss
G876,Chronic Lung Allograft Dysfunction (Bronchiolitis Obliterans),Montelukast,2nd Line,"Add-on",Neuropsychiatric
G877,Chronic Lung Allograft Dysfunction (Bronchiolitis Obliterans),Retransplantation,3rd Line,"End-stage",Surgical risk; recurrence
G878,Cardiac Allograft Vasculopathy,Statins,1st Line,"All heart transplant patients",As statins
G879,Cardiac Allograft Vasculopathy,Antiproliferative Immunosuppressants (Everolimus),2nd Line,"May slow progression",Stomatitis; rash; pneumonitis
G880,Post-transplant Lymphoproliferative Disorder (PTLD),Reduce Immunosuppression,1st Line,"First step",Rejection risk
G881,Post-transplant Lymphoproliferative Disorder (PTLD),Rituximab,2nd Line,"CD20+ PTLD",Infusion reactions; hepatitis B reactivation
G882,Post-transplant Lymphoproliferative Disorder (PTLD),Chemotherapy (R-CHOP),3rd Line,"Aggressive PTLD",As chemo
