disease_id,disease_name,therapeutic_area,chronic_or_acute,severity_level,brief_clinical_description,typical_patient_profile,common_comorbidities
DIS343,Uterine Fibroids (Leiomyomas),Obstetrics and Gynecology,Chronic,Moderate,Benign smooth muscle tumors of uterus,Women 30-50; African descent,Menorrhagia; Pain; Infertility
DIS344,Polycystic Ovary Syndrome (already in Endo), but okay
DIS345,Menorrhagia (Dysfunctional Uterine Bleeding),Obstetrics and Gynecology,Chronic,Moderate,Heavy menstrual bleeding without organic cause,Adolescents; perimenopausal,Anemia; Fatigue; QoL impairment
DIS346,Dysmenorrhea (Primary),Obstetrics and Gynecology,Chronic,Mild,Painful menstruation without pathology,Adolescents; young women,Missed school/work; Nausea
DIS347,Premenstrual Dysphoric Disorder,Psychiatry,Chronic,Moderate,Severe mood symptoms before menses,Reproductive-age women,Depression; Anxiety; Impaired function
DIS348,Menopause (Symptomatic),Obstetrics and Gynecology,Chronic,Mild,Physiologic cessation of menses with vasomotor symptoms,Women 45-55,Hot flashes; Vaginal dryness; Mood changes
DIS349,Osteopenia,Endocrinology,Chronic,Low,Low bone mass preceding osteoporosis,Postmenopausal women; elderly,Progress to osteoporosis; Fracture risk
DIS350,Sarcopenia,Geriatrics,Chronic,Moderate,Age-related loss of muscle mass and strength,Elderly; sedentary,Falls; Frailty; Disability
DIS351,Frailty Syndrome,Geriatrics,Chronic,Severe,State of vulnerability to stressors,Elderly >75; comorbid,Disability; Hospitalization; Death
DIS352,Dementia with Lewy Bodies,Neurology,Chronic,Severe,Progressive dementia with parkinsonism and hallucinations,Elderly; >65,Falls; Autonomic dysfunction; Psychosis
DIS353,Frontotemporal Dementia,Neurology,Chronic,Severe,Early-onset dementia with behavioral changes,Adults 45-65; family history,Behavioral variant; Primary progressive aphasia
DIS354,Vascular Dementia,Neurology,Chronic,Severe,Cognitive impairment due to cerebrovascular disease,Elderly with vascular risk factors,Stepwise decline; Focal signs; Depression
DIS355,Normal Pressure Hydrocephalus,Neurology,Chronic,Moderate,Communicating hydrocephalus with gait disturbance, urinary incontinence, dementia,Elderly,Improvement with shunt
DIS356,Chronic Subdural Hematoma,Neurology,Chronic,Severe,Accumulation of blood in subdural space,Elderly; fall; anticoagulants,Altered mental status; Focal deficits
DIS357,Spinal Stenosis (Lumbar),Orthopedics,Chronic,Moderate,Narrowing of spinal canal causing neurogenic claudication,Elderly; degenerative,Pain; Weakness; Disability
DIS358,Herniated Nucleus Pulposus (Lumbar),Orthopedics,Acute,Moderate,Disc herniation compressing nerve root,Young to middle-aged; lifting,Sciatica; Motor/sensory deficits
DIS359,Cervical Spondylosis,Orthopedics,Chronic,Moderate,Age-related disc degeneration in neck,Elderly,Neck pain; Radiculopathy; Myelopathy
DIS360,Rotator Cuff Tear,Orthopedics,Acute,Moderate,Tear of shoulder tendons,Overhead athletes; elderly,Pain; Weakness; Loss of motion
DIS361,Osteoarthritis (Hip),Orthopedics,Chronic,Moderate,Degenerative joint disease of hip,Elderly; prior injury,Pain; Stiffness; Limp
DIS362,Rheumatoid Arthritis (already in Rheum), skip
DIS363,Gout (already in Rheum), skip
DIS364,Fracture (Hip),Orthopedics,Acute,Severe,Break in proximal femur,Elderly with osteoporosis; fall,Immobility; Nonunion; Death
DIS365,Fracture (Vertebral Compression),Orthopedics,Acute,Severe,Collapse of vertebral body,Osteoporotic elderly; trauma,Back pain; Kyphosis; Neurologic compromise
DIS366,Osteomyelitis (Vertebral),Infectious Diseases,Acute,Severe,Spinal infection,IVDU; elderly; post-surgery,Spinal instability; Epidural abscess
DIS367,Septic Arthritis (Knee),Infectious Diseases,Acute,Severe,Joint infection,Children; elderly; prosthetic joint,Destruction; Sepsis
DIS368,Avascular Necrosis (Femoral Head),Orthopedics,Chronic,Severe,Death of bone tissue due to blood supply loss,Steroid use; alcohol; trauma,Collapse; Osteoarthritis
DIS369,Paget's Disease of Bone,Endocrinology,Chronic,Moderate,Disordered bone remodeling leading to enlarged bones,Elderly; >50; Northern European,Bone pain; Deformity; High-output heart failure
DIS370,Osteomalacia,Endocrinology,Chronic,Moderate,Softening of bones due to vitamin D deficiency,Elderly; malabsorption; lack of sun,Pain; Proximal weakness; Fractures
DIS371,Fibromyalgia,Pain Medicine,Chronic,Moderate,Widespread pain with tender points and fatigue,Women 20-50; often with other syndromes,Depression; IBS; Sleep disturbance
DIS372,Chronic Low Back Pain (Non-specific),Pain Medicine,Chronic,Moderate,Pain in lower back >3 months without specific cause,Adults; sedentary; obesity,Disability; Depression; Deconditioning
DIS373,Complex Regional Pain Syndrome (Type I),Pain Medicine,Chronic,Severe,Regional pain with autonomic features after trauma,Adults; limb injury,Allodynia; Edema; Trophic changes
DIS374,Postherpetic Neuralgia,Pain Medicine,Chronic,Moderate,Neuropathic pain after shingles,Elderly; after zoster,Persistent burning pain; Allodynia
DIS375,Diabetic Neuropathy (Painful),Endocrinology,Chronic,Moderate,Peripheral nerve damage due to diabetes,Long-standing diabetes,Foot ulcers; Autonomic symptoms
DIS376,Trigeminal Neuralgia (already in Neuro), skip
DIS377,Phantom Limb Pain,Pain Medicine,Chronic,Moderate,Pain perceived in amputated limb,Amputees,Stump pain; Depression
DIS378,Cancer Pain (Bone Metastasis),Pain Medicine,Chronic,Severe,Pain due to metastatic bone lesions,Advanced cancer patients,Impaired QoL; Anxiety
DIS379,Chronic Migraine,Neurology,Chronic,Severe,Migraine occurring ≥15 days/month,Adults; female; overuse of meds,Medication overuse headache; Disability
DIS380,Tension-Type Headache (Chronic),Neurology,Chronic,Moderate,Frequent episodes of tension headache,Adults; stress,Anxiety; Sleep disturbance
DIS381,Medication Overuse Headache,Neurology,Chronic,Moderate,Headache caused by frequent analgesic use,Chronic pain patients; migraineurs,Withdrawal; Rebound
DIS382,Cluster Headache (Chronic),Neurology,Chronic,Severe,Unremitting cluster attacks for >1 year without remission,Men; smokers,Suicide risk; Disability
DIS383,Paroxysmal Hemicrania,Neurology,Chronic,Moderate,Severe unilateral headache with autonomic features,Adults; female,Indomethacin responsiveness; Misdiagnosis
DIS384,SUNCT Syndrome,Neurology,Chronic,Severe,Short-lasting unilateral neuralgiform headache with autonomic symptoms,Rare; male,Suicidal ideation; Severe disability
DIS385,Hemicrania Continua,Neurology,Chronic,Moderate,Continuous unilateral headache with fluctuations,Adults; female,Indomethacin responsiveness
DIS386,Idiopathic Intracranial Hypertension,Neurology,Chronic,Moderate,Increased intracranial pressure without mass lesion,Obese women 20-40,Papilledema; Vision loss; Tinnitus
DIS387,Pseudotumor Cerebri (already above)
DIS388,Central Retinal Artery Occlusion,Ophthalmology,Acute,Severe,Sudden monocular vision loss from embolus,Elderly; vascular risk factors,Blindness; Neovascularization
DIS389,Central Retinal Vein Occlusion,Ophthalmology,Acute,Severe,Retinal vein occlusion causing hemorrhagic retinopathy,Elderly; hypertension; glaucoma,Macular edema; Neovascular glaucoma
DIS390,Anterior Ischemic Optic Neuropathy,Ophthalmology,Acute,Severe,Optic disc infarction due to vasculopathy,Elderly; giant cell arteritis (arteritic) or small vessel (non-arteritic),Vision loss; Disc edema
DIS391,Optic Neuritis (already in Ophthal), skip
DIS392,Thyroid Eye Disease,Endocrinology,Chronic,Moderate,Orbital inflammation in Graves',Women; smokers,Exophthalmos; Diplopia; Optic neuropathy
DIS393,Uveitis (Intermediate),Ophthalmology,Chronic,Moderate,Inflammation of pars plana,Young adults; MS,Macular edema; Cataract
DIS394,Uveitis (Posterior),Ophthalmology,Chronic,Severe,Choroiditis/retinitis,Toxoplasmosis; CMV; autoimmune,Scarring; Vision loss
DIS395,Scleritis,Rheumatology,Chronic,Severe,Deep inflammation of sclera,Associated with rheumatoid arthritis; vasculitis,Pain; Perforation; Vision loss
DIS396,Episcleritis,Ophthalmology,Acute,Mild,Benign inflammation of episclera,Young adults; often idiopathic,Discomfort; Recurrence
DIS397,Keratoconus,Ophthalmology,Chronic,Moderate,Progressive corneal thinning,Adolescents; young adults; atopy,Irregular astigmatism; Corneal scarring
DIS398,Fuchs' Dystrophy,Ophthalmology,Chronic,Moderate,Corneal endothelial dysfunction,Elderly; female,Corneal edema; Reduced vision
DIS399,Pterygium,Ophthalmology,Chronic,Low,Fleshy growth on conjunctiva,Outdoor workers; UV exposure,Irritation; Visual axis obstruction
DIS400,Chalazion,Ophthalmology,Chronic,Low,Lipogranuloma of meibomian gland,Adults; blepharitis,Lump; Rare infection
DIS401,Blepharitis,Ophthalmology,Chronic,Low,Chronic eyelid inflammation,Adults; rosacea; seborrhea,Dry eye; Conjunctivitis; Styes
DIS402,Dry Eye Syndrome,Ophthalmology,Chronic,Moderate,Qualitative or quantitative tear deficiency,Adults; elderly; autoimmune,Corneal damage; Visual disturbance
DIS403,Allergic Conjunctivitis (Seasonal),Allergy and Immunology,Acute,Mild,IgE-mediated conjunctival inflammation,Atopic individuals; pollen season,Itching; Redness; Watering
DIS404,Vernal Keratoconjunctivitis,Ophthalmology,Chronic,Moderate,Severe allergic eye disease in children,Boys in warm climates,Corneal shield ulcers; Vision loss
DIS405,Atopic Keratoconjunctivitis,Ophthalmology,Chronic,Severe,Chronic allergic disease in adults with atopic dermatitis,Adults; atopic,Cataract; Keratoconus; Vision loss
DIS406,Giant Papillary Conjunctivitis,Ophthalmology,Chronic,Moderate,Contact lens-related allergic response,Contact lens wearers; prostheses,Discomfort; Lens intolerance
DIS407,Contact Lens-related Keratitis,Ophthalmology,Acute,Severe,Microbial keratitis in contact lens users,Contact lens wearers; poor hygiene,Corneal ulcer; Scarring; Vision loss
DIS408,Corneal Ulcer (Bacterial),Ophthalmology,Acute,Severe,Infection of cornea,Contact lens; trauma; dry eye,Perforation; Endophthalmitis; Blindness
DIS409,Endophthalmitis (Post-operative),Ophthalmology,Acute,Severe,Intraocular infection after surgery,Post-cataract; intravitreal injection,Panophthalmitis; Vision loss
DIS410,Retinitis Pigmentosa,Ophthalmology,Chronic,Severe,Hereditary retinal degeneration,Children; young adults; family history,Tunnel vision; Night blindness; Legal blindness
DIS411,Stargardt Disease,Ophthalmology,Chronic,Severe,Macular dystrophy in children,Children; adolescents; autosomal recessive,Central vision loss; Fundus flecks
DIS412,Best Disease,Ophthalmology,Chronic,Moderate,Macular dystrophy with egg-yolk lesion,Children; young adults; autosomal dominant,Slow vision loss
DIS413,Choroideremia,Ophthalmology,Chronic,Severe,X-linked retinal degeneration,Men; progressive night blindness,Legal blindness
DIS414,Leber Congenital Amaurosis,Ophthalmology,Chronic,Severe,Severe retinal dystrophy in infancy,Infants; genetic,Blindness; Nystagmus
DIS415,Usher Syndrome,Ophthalmology,Chronic,Severe,Combined retinitis pigmentosa and deafness,Children; autosomal recessive,Blindness; Deafness
DIS416,Bardet-Biedl Syndrome,Clinical Genetics,Chronic,Severe,Ciliopathy with retinal dystrophy, polydactyly, obesity,Children; autosomal recessive,Progressive vision loss; Renal anomalies
DIS417,Alström Syndrome,Clinical Genetics,Chronic,Severe,Ciliopathy with cone-rod dystrophy, obesity, deafness, cardiomyopathy,Infants; autosomal recessive,Multi-organ failure
DIS418,Conductive Hearing Loss (Otosclerosis),Otorhinolaryngology,Chronic,Moderate,Stapes fixation causing conductive loss,Adults 20-40; female,Fixation; Tinnitus; Family history
DIS419,Sudden Sensorineural Hearing Loss,Otorhinolaryngology,Acute,Severe,Idiopathic sudden hearing loss,Adults; often viral,Permanent hearing loss; Vertigo
DIS420,Acoustic Neuroma (Vestibular Schwannoma),Otorhinolaryngology,Chronic,Moderate,Benign tumor of CN VIII,Adults 40-60; unilateral,Hearing loss; Tinnitus; Balance issues; Facial numbness
DIS421,Cholesteatoma,Otorhinolaryngology,Chronic,Moderate,Keratinizing squamous epithelium in middle ear,Chronic otitis media; congenital,Bone erosion; Hearing loss; Intracranial complications
DIS422,Mastoiditis (Acute),Otorhinolaryngology,Acute,Severe,Acute infection of mastoid air cells,Children; untreated otitis media,Subperiosteal abscess; Sigmoid sinus thrombosis; Meningitis
DIS423,Peritonsillar Abscess (Quinsy),Otorhinolaryngology,Acute,Severe,Complication of tonsillitis with abscess,Adolescents; young adults,Trismus; Airway obstruction; Sepsis
DIS424,Retropharyngeal Abscess,Otorhinolaryngology,Acute,Severe,Deep neck space infection,Children <5; adults with trauma,Airway compromise; Mediastinitis
DIS425,Epiglottitis (Acute),Otorhinolaryngology,Acute,Severe,Life-threatening inflammation of epiglottis,Unvaccinated children; adults,Airway obstruction; Death
DIS426,Laryngeal Papillomatosis (Recurrent),Otorhinolaryngology,Chronic,Moderate,HPV-related benign laryngeal tumors,Children; young adults,Hoarseness; Airway obstruction; Malignant transformation rare
DIS427,Vocal Cord Paralysis (Unilateral),Otorhinolaryngology,Chronic,Moderate,Immobile vocal cord due to recurrent laryngeal nerve injury,Post-thyroidectomy; mediastinal tumor; idiopathic,Hoarseness; Aspiration; Dysphagia
DIS428,Spasmodic Dysphonia,Otorhinolaryngology,Chronic,Moderate,Focal dystonia of larynx,Adults 30-50; female,Breathy or strangled voice; Social disability
DIS429,Zenker's Diverticulum,Gastroenterology,Chronic,Moderate,Pharyngoesophageal diverticulum,Elderly; male,Dysphagia; Regurgitation; Aspiration pneumonia
DIS430,Achalasia,Gastroenterology,Chronic,Moderate,Esophageal motility disorder with incomplete LES relaxation,Adults 30-60; idiopathic,Dysphagia; Regurgitation; Chest pain
DIS431,Esophageal Spasm (Diffuse),Gastroenterology,Chronic,Moderate,Abnormal esophageal contractions,Adults; stress,Chest pain; Dysphagia
DIS432,Gastroparesis (Diabetic),Gastroenterology,Chronic,Moderate,Delayed gastric emptying without obstruction,Long-standing diabetes; post-viral,Nausea; Vomiting; Early satiety
DIS433,Functional Dyspepsia,Gastroenterology,Chronic,Mild,Upper abdominal discomfort without organic cause,Adults; stress,Epigastric pain; Bloating; Nausea
DIS434,Cyclic Vomiting Syndrome,Gastroenterology,Chronic,Moderate,Episodic vomiting with symptom-free intervals,Children; adults; migraine history,Dehydration; Electrolyte imbalance
DIS435,Small Intestinal Bacterial Overgrowth,Gastroenterology,Chronic,Moderate,Excess bacteria in small bowel,Post-surgery; IBS; elderly,Diarrhea; Malabsorption; Bloating
DIS436,Exocrine Pancreatic Insufficiency,Gastroenterology,Chronic,Moderate,Insufficient pancreatic enzymes,Chronic pancreatitis; cystic fibrosis,Steatorrhea; Weight loss; Malnutrition
DIS437,Acute Cholangitis,Gastroenterology,Acute,Severe,Infection of bile duct due to obstruction,Gallstones; stricture; stent,Charcot's triad; Sepsis; Liver abscess
DIS438,Primary Biliary Cholangitis,Hepatology,Chronic,Severe,Chronic cholestatic liver disease,Women 40-60; AMA positive,Pruritus; Fatigue; Cirrhosis; Portal hypertension
DIS439,Primary Sclerosing Cholangitis,Hepatology,Chronic,Severe,Chronic cholestatic disease with bile duct strictures,Men 30-50; IBD,Cholangiocarcinoma; Cirrhosis; Recurrent cholangitis
DIS440,Autoimmune Hepatitis,Hepatology,Chronic,Severe,Immune-mediated liver inflammation,Women; any age,Arthralgia; Cirrhosis; Acute liver failure
DIS441,Alcoholic Hepatitis,Hepatology,Acute,Severe,Acute liver inflammation due to alcohol,Chronic alcoholics; binge,Jaundice; Ascites; Variceal hemorrhage; Death
DIS442,Hepatocellular Carcinoma,Hepatology,Chronic,Severe,Primary liver cancer,Cirrhosis; HBV/HCV; alcohol,Abdominal pain; Weight loss; Liver failure
DIS443,Liver Metastases (Colorectal),Oncology,Chronic,Severe,Metastatic colorectal cancer to liver,Colorectal cancer patients,Jaundice; Ascites; Liver failure
DIS444,Gilbert's Syndrome,Hepatology,Chronic,Low,Benign unconjugated hyperbilirubinemia,Young adults; stress,Intermittent jaundice; No treatment
DIS445,Dubin-Johnson Syndrome,Hepatology,Chronic,Low,Conjugated hyperbilirubinemia due to defective excretion,Young adults; autosomal recessive,Chronic jaundice; Liver pigment
DIS446,Rotor Syndrome,Hepatology,Chronic,Low,Conjugated hyperbilirubinemia similar to Dubin-Johnson,Rare; benign,Jaundice
DIS447,Hereditary Hemochromatosis,Hepatology,Chronic,Severe,Iron overload disorder,Adults; Northern European,Diabetes; Cirrhosis; Cardiomyopathy; Arthropathy
DIS448,Wilson's Disease,Hepatology,Chronic,Severe,Copper accumulation in liver and brain,Children; young adults; Kayser-Fleischer rings,Liver disease; Neurologic symptoms; Psychiatric
DIS449,Alpha-1 Antitrypsin Deficiency,Pulmonology,Chronic,Severe,Deficiency leading to COPD and liver disease,Adults; Northern European,COPD; Cirrhosis; Panniculitis
DIS450,Cystic Fibrosis Liver Disease,Pulmonology,Chronic,Severe,Hepatic manifestation of CF,Children; young adults with CF,Portal hypertension; Cirrhosis; Variceal bleed
DIS451,Hereditary Spherocytosis (already in Hem), skip
DIS452,Glucose-6-Phosphate Dehydrogenase Deficiency,Hematology,Acute,Moderate,RBC enzyme deficiency causing hemolytic anemia with oxidative stress,Mediterranean; African; Asian,Hemolytic crises; Neonatal jaundice
DIS453,Pyruvate Kinase Deficiency,Hematology,Chronic,Moderate,RBC enzyme deficiency causing chronic hemolytic anemia,Any ethnicity; autosomal recessive,Gallstones; Transfusion dependence
DIS454,Paroxysmal Cold Hemoglobinuria,Hematology,Acute,Moderate,Donath-Landsteiner antibody-mediated hemolysis,Children; post-viral,Hemoglobinuria; Anemia
DIS455,Warm Autoimmune Hemolytic Anemia,Hematology,Chronic,Moderate,Autoimmune hemolysis with IgG antibodies,Adults; associated with SLE/CLL,Jaw-and-face
DIS456,Cold Agglutinin Disease,Hematology,Chronic,Moderate,Autoimmune hemolysis with IgM antibodies,Elderly; post-Mycoplasma; lymphoma,Acrocyanosis; Hemoglobinuria
DIS457,Drug-induced Hemolytic Anemia,Hematology,Acute,Moderate,Hemolysis due to drug antibodies,Any age; drug exposure (penicillin, cephalosporins),Anemia; Hemoglobinuria
DIS458,Thrombotic Microangiopathy (Atypical HUS),Nephrology,Acute,Severe,Complement-mediated thrombotic microangiopathy,Children; adults; genetic,Acute kidney injury; Hypertension; Neurologic
DIS459,Thrombotic Thrombocytopenic Purpura (already in Hem), skip
DIS460,Hemolytic Uremic Syndrome (Typical),Nephrology,Acute,Severe,Shiga toxin-induced,Children; post-diarrheal,Acute kidney injury; Anemia; Thrombocytopenia
DIS461,IgA Nephropathy (already in Nephro), skip
DIS462,Alport Syndrome,Nephrology,Chronic,Severe,Hereditary nephritis with deafness and eye defects,Boys; X-linked,Progressive renal failure; Hearing loss; Lenticonus
DIS463,Fabry Disease,Nephrology,Chronic,Severe,X-linked lysosomal storage disorder with renal, cardiac, neurologic involvement,Men; children,Neuropathic pain; Angiokeratomas; Renal failure
DIS464,Nail-Patella Syndrome,Clinical Genetics,Chronic,Moderate,Autosomal dominant with nail and bone anomalies,Children; adults,Renal involvement; Glaucoma
DIS465,Medullary Sponge Kidney,Nephrology,Chronic,Low,Congenital cystic dilation of renal collecting ducts,Adults; incidental,Nephrolithiasis; Urinary infection
DIS466,Autosomal Dominant Tubulointerstitial Kidney Disease,Nephrology,Chronic,Severe,Hereditary interstitial nephritis,Adults; family history,Gout; Progressive CKD
DIS467,Renal Tubular Acidosis (Distal),Nephrology,Chronic,Moderate,Impaired acid excretion by distal tubule,Children; adults; autoimmune,Nephrolithiasis; Rickets; Hypokalemia
DIS468,Fanconi Syndrome (Proximal RTA),Nephrology,Chronic,Moderate,Generalized proximal tubule dysfunction,Children; adults; multiple causes,Hypophosphatemia; Osteomalacia; Glycosuria
DIS469,Nephrogenic Diabetes Insipidus,Nephrology,Chronic,Moderate,Renal resistance to ADH,Boys (X-linked); lithium therapy,Polyuria; Hypernatremia; Dehydration
DIS470,Acute Interstitial Nephritis,Nephrology,Acute,Severe,Inflammation of renal interstitium due to drugs/infection,Drug-induced (NSAIDs, antibiotics); infection,Acute kidney injury; Fever; Rash
DIS471,Chronic Interstitial Nephritis,Nephrology,Chronic,Moderate,Chronic tubulointerstitial damage,Analgesic abuse; lead; Chinese herbs,Slowly progressive renal failure
DIS472,Light Chain Deposition Disease,Nephrology,Chronic,Severe,Monoclonal immunoglobulin deposition in kidney,Multiple myeloma; MGUS,Nephrotic syndrome; Renal failure
DIS473,Amyloidosis (Renal),Nephrology,Chronic,Severe,Amyloid deposits in kidney,AL amyloidosis; chronic inflammation,Nephrotic syndrome; Progressive CKD
DIS474,Diabetic Nephropathy (already), skip
DIS475,Hypertensive Nephrosclerosis (already), skip
DIS476,FSGS (already), skip
DIS477,Membranous Nephropathy (already), skip
DIS478,Minimal Change Disease,Nephrology,Acute,Moderate,Nephrotic syndrome with foot process effacement,Children; young adults,Edema; Hypoalbuminemia; Infection risk
DIS479,Post-streptococcal Glomerulonephritis,Nephrology,Acute,Moderate,Acute nephritis after strep infection,Children 2-10; developing world,Hypertension; Edema; Hematuria; Renal recovery
DIS480,Rapidly Progressive Glomerulonephritis (Crescentic),Nephrology,Acute,Severe,Rapid loss of renal function with crescents,Any age; associated with vasculitis or anti-GBM,Oliguria; ESRD
DIS481,Goodpasture Syndrome (already Anti-GBM)
DIS482,Henoch-Schönlein Purpura Nephritis,Rheumatology,Acute,Moderate,IgA vasculitis with renal involvement,Children; adults,IgA nephropathy-like; Hypertension; Renal impairment
DIS483,Lupus Nephritis,Rheumatology,Chronic,Severe,Renal involvement in SLE,Young women; SLE,Nephritic/nephrotic syndrome; ESRD
DIS484,IgA Vasculitis (already)
DIS485,Behçet's Disease (already)
DIS486,Relapsing Polychondritis,Rheumatology,Chronic,Moderate,Episodic inflammation of cartilage,Adults; autoimmune,Auricular chondritis; Nasal deformity; Airway collapse
DIS487,Sarcoidosis,Pulmonology,Chronic,Moderate,Multi-system non-caseating granulomas,Adults 20-40; African American,Lymphadenopathy; Pulmonary infiltrates; Skin lesions; Uveitis
DIS488,Idiopathic Pulmonary Hemosiderosis,Pulmonology,Chronic,Severe,Rare cause of diffuse alveolar hemorrhage,Children; adults,Hemoptysis; Anemia; Pulmonary fibrosis
DIS489,Pulmonary Alveolar Proteinosis,Pulmonology,Chronic,Moderate,Accumulation of surfactant in alveoli,Adults 30-50; smokers; autoantibodies to GM-CSF,Progressive dyspnea; Ground-glass opacities
DIS490,Lymphangioleiomyomatosis (LAM),Pulmonology,Chronic,Severe,Rare cystic lung disease in women,Women childbearing age; TSC,Pneumothorax; Chylothorax; Progressive dyspnea
DIS491,Postural Orthostatic Tachycardia Syndrome (POTS),Cardiology,Chronic,Moderate,Autonomic disorder with tachycardia on standing,Young women; post-viral,Fatigue; Syncope; Palpitations
DIS492,Neurocardiogenic Syncope,Cardiology,Chronic,Moderate,Reflex syncope due to autonomic reflex,Young; triggers (standing, emotion),Recurrent syncope; Injury
DIS493,Carotid Sinus Hypersensitivity,Cardiology,Chronic,Moderate,Exaggerated response to carotid massage,Elderly; male,Syncope; Falls; Pacemaker indicated
DIS494,Sick Sinus Syndrome,Cardiology,Chronic,Severe,Sinus node dysfunction causing bradycardia/tachycardia,Elderly; fibrosis,Pacemaker needed; Tachy-brady syndrome
DIS495,Atrial Flutter (Typical),Cardiology,Acute,Moderate,Macro-reentrant atrial tachycardia,Adults; structural heart disease,Palpitations; Thromboembolism; Heart failure
DIS496,Wolff-Parkinson-White Syndrome,Cardiology,Chronic,Moderate,Accessory pathway causing pre-excitation and tachyarrhythmias,Young; healthy; may be incidental,Palpitations; Syncope; SCD risk
DIS497,Long QT Syndrome (already)
DIS498,Brugada Syndrome (already)
DIS499,Catecholaminergic Polymorphic VT (already)
DIS500,Arrhythmogenic Right Ventricular Cardiomyopathy,Cardiology,Chronic,Severe,Fibrofatty replacement of RV myocardium,Young adults; athletes; genetic,Ventricular arrhythmias; Sudden death
DIS501,Left Ventricular Noncompaction,Cardiology,Chronic,Moderate,Rare cardiomyopathy with prominent trabeculations,Adults; genetic,Heart failure; Arrhythmias; Emboli
DIS502,Endocardial Fibroelastosis,Cardiology,Chronic,Severe,Rare cause of restrictive cardiomyopathy in children,Infants; possibly viral,Heart failure; Death
DIS503,Kawasaki Disease,Cardiology,Acute,Severe,Acute systemic vasculitis in children,Infants <5; Asian,Coronary artery aneurysms; Myocarditis
DIS504,Acute Rheumatic Fever (already)
DIS505,Chagas Cardiomyopathy (already)
DIS506,Peripartum Cardiomyopathy,Cardiology,Acute,Severe,Heart failure in last month of pregnancy or postpartum,Women; peripartum,Thromboembolism; Recovery or progression
DIS507,Stress Cardiomyopathy (Takotsubo) (already)
DIS508,Myocarditis (Viral),Cardiology,Acute,Severe,Inflammation of heart muscle due to infection,Young adults; post-viral,Heart failure; Arrhythmias; Dilated cardiomyopathy
DIS509,Cardiac Amyloidosis (AL),Cardiology,Chronic,Severe,Amyloid deposition in heart,Adults >60; AL amyloidosis,Restrictive cardiomyopathy; Heart failure; Arrhythmias
DIS510,Cardiac Amyloidosis (ATTR),Cardiology,Chronic,Severe,Transthyretin amyloid deposition,Elderly; hereditary,Heart failure; Carpal tunnel syndrome; Neuropathy
DIS511,Hemochromatosis Cardiomyopathy,Cardiology,Chronic,Severe,Iron overload cardiomyopathy,Hemochromatosis; multiple transfusions,Restrictive/dilated cardiomyopathy; Arrhythmias
DIS512,Carcinoid Heart Disease,Cardiology,Chronic,Severe,Valvular lesions due to serotonin from carcinoid,Metastatic carcinoid,Right-sided valve disease; Heart failure
DIS513,Endocarditis (Non-infective, Libman-Sacks),Rheumatology,Chronic,Moderate,Valvular vegetations in SLE or antiphospholipid syndrome,SLE; antiphospholipid,Embolic events; Valve dysfunction
DIS514,Antiphospholipid Syndrome,Rheumatology,Chronic,Severe,Thrombophilia with arterial/venous thrombosis, pregnancy loss,Young adults; female; primary or secondary,Thrombosis; Miscarriage; Livedo reticularis
DIS515,Thrombophilia (Hereditary),Hematology,Chronic,Moderate,Genetic predisposition to thrombosis (Factor V Leiden, Prothrombin mutation),Any age; family history,DVT; PE; Recurrent miscarriage
DIS516,Protein C Deficiency,Hematology,Chronic,Severe,Deficiency of natural anticoagulant,Neonatal purpura fulminans; adults,Venous thrombosis; Warfarin-induced skin necrosis
DIS517,Protein S Deficiency,Hematology,Chronic,Moderate,Deficiency of natural anticoagulant,Adults; family history,Venous thrombosis; Arterial thrombosis rare
DIS518,Antithrombin Deficiency,Hematology,Chronic,Severe,Deficiency of natural anticoagulant,Adults; family history,Venous thrombosis; Heparin resistance
DIS519,Paroxysmal Nocturnal Hemoglobinuria (already)
DIS520,Myeloproliferative Neoplasm (already)
DIS521,Chronic Neutrophilic Leukemia,Hematology,Chronic,Moderate,Rare myeloproliferative neoplasm,Adults >60; splenomegaly,Neutrophilia; Transformation to AML
DIS522,Chronic Eosinophilic Leukemia,Hematology,Chronic,Severe,Clonal eosinophilia with organ damage,Adults; male,Cytogenetic abnormalities; Endomyocardial fibrosis
DIS523,Hypereosinophilic Syndrome,Immunology,Chronic,Severe,Persistent eosinophilia with organ damage,Adults; male,Cardiac; Neurologic; Cutaneous; Pulmonary
DIS524,Mast Cell Leukemia,Oncology,Acute,Severe,Aggressive form of systemic mastocytosis,Rare; poor prognosis,Anaphylaxis; Organ failure
DIS525,Langerhans Cell Histiocytosis,Oncology,Chronic,Moderate,Clonal proliferation of Langerhans cells,Children; adults,Multisystem: bone, skin, lung, pituitary
DIS526,Erdheim-Chester Disease,Oncology,Chronic,Severe,Rare non-Langerhans histiocytosis,Adults; >40,Bone pain; CNS; Cardiovascular; Retroperitoneal fibrosis
DIS527,Rosaï-Dorfman Disease,Oncology,Chronic,Moderate,Sinus histiocytosis with massive lymphadenopathy,Children; young adults; cervical,Lymphadenopathy; Extranodal
DIS528,Castleman Disease (Unicentric),Hematology,Chronic,Moderate,Benign lymphoproliferative disorder,Adults; hyaline vascular type,Asymptomatic mass; Resection cures
DIS529,Castleman Disease (Multicentric),Hematology,Chronic,Severe,Systemic inflammatory syndrome due to HHV-8 or idiopathic,Adults; HIV; HHV-8,Constitutional symptoms; Cytopenias; Organ failure; POEMS
